parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,assessmentyear,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,taxvaluedollarcnt
14731691,,,,2.0,2.0,,,2.0,,,970.0,970.0,,,,,6059.0,,2.0,1.0,0.0,,,33715600.0,-117926000.0,,,,,,,34,266.0,,60590992.293006,8384.0,1286.0,,97008.0,0.0,,,,,,,1989.0,,,2016.0,,,60590992293006.0,132425.0
17110996,,,,2.5,3.0,,,2.5,,632.0,1371.0,1371.0,,,632.0,,6111.0,,2.0,2.0,447.0,,,34238229.0,-119170633.0,3445.0,,,,,,1111,261.0,,61110050.041163,13150.0,2061.0,,97107.0,5.0,,1.0,,,,,2004.0,2.0,,2016.0,,,61110050041163.0,198054.0
14375300,13.0,,,2.0,4.0,,,2.0,,,1677.0,1677.0,,,,,6059.0,,2.0,2.0,420.0,,,33642800.0,-117707211.0,5304.0,,,,,,122,261.0,,60590524.081002,32380.0,1286.0,,96962.0,8.0,,,,,,,1981.0,1.0,,2016.0,,,60590524081002.0,528847.0
12045625,1.0,,,3.0,3.0,,8.0,3.0,,,1435.0,1435.0,,,,,6037.0,,3.0,,,,2.0,34212400.0,-118238000.0,45171.0,,,,,,010C,266.0,GLR3*,60373006.003007,45457.0,3101.0,274582.0,96275.0,0.0,,,,1.0,,,1981.0,,,2016.0,,,60373006003007.0,259197.0
11830315,,,,1.0,2.0,,4.0,1.0,,,1146.0,1146.0,,,,,6037.0,,1.0,,,,7.0,34024040.0,-118159090.0,4657.0,,,,,,0100,261.0,LCR2YY,60375316.041001,17882.0,3101.0,,96003.0,0.0,,,,1.0,,,1939.0,,,2016.0,,,60375316041001.0,273745.0
14730402,,,,2.0,2.0,,,2.0,,,916.0,916.0,,,,,6059.0,,2.0,1.0,0.0,,,33660200.0,-117646000.0,,,,,,,34,266.0,,60590320.471002,,1286.0,,96962.0,0.0,,,,,,,1980.0,,,2016.0,Y,15.0,60590320471001.0,245910.0
12325145,1.0,,,2.0,3.0,,6.0,2.0,,,1092.0,1092.0,,,,,6037.0,,2.0,,,,2.0,33897676.0,-118169106.0,36005.0,,,,,,010C,266.0,PARM*,60375536.011007,6395.0,3101.0,,96220.0,0.0,,,,1.0,,,1979.0,,,2016.0,Y,15.0,60375536011007.0,178646.0
14387959,,,,2.5,3.0,,,2.5,,,2074.0,2074.0,,,,,6059.0,1.0,2.0,2.0,485.0,,,33586693.0,-117697202.0,5600.0,,,,,,122,261.0,,60590423.273002,25458.0,1286.0,,96971.0,7.0,,1.0,,,,,1978.0,2.0,,2016.0,,,60590423273002.0,597213.0
14349322,,,,2.5,3.0,,,2.5,,,2018.0,2018.0,,,,,6059.0,,2.0,2.0,446.0,,,33728985.0,-117754647.0,2800.0,,,,,,122,261.0,,60590524.2011,52650.0,1286.0,274815.0,96954.0,0.0,,1.0,,,,,1998.0,,,2016.0,,,60590524201100.0,534612.0
11706737,,,,1.0,2.0,,5.0,1.0,,,1316.0,1316.0,,,,,6037.0,,1.0,,,,,34009471.0,-118281052.0,5091.0,,,,,,0100,261.0,LAC2,60372317.202003,12447.0,3101.0,268496.0,96018.0,0.0,,,,1.0,,,1908.0,,,2016.0,Y,14.0,60372317202003.0,171838.0
11671335,1.0,,,3.0,2.0,,9.0,3.0,,,2126.0,2126.0,,,,,6037.0,,3.0,,,,2.0,34074859.0,-118563050.0,221601.0,,,,,,010C,266.0,LARD3,60372626.011002,12447.0,3101.0,19810.0,96120.0,0.0,,,,1.0,,,1983.0,,,2016.0,,,60372626011002.0,573247.0
12531488,,,,1.0,3.0,,4.0,1.0,,,1641.0,1641.0,,,,,6037.0,,1.0,,,,7.0,33760954.0,-118123592.0,5302.0,,,,,,0100,261.0,LBR1S,60375776.035014,46298.0,3101.0,416316.0,96237.0,0.0,,,,1.0,,,1944.0,,,2016.0,,,60375776035014.0,432754.0
14314879,,,,4.5,6.0,,,4.5,,,3870.0,3870.0,,,,,6059.0,2.0,4.0,3.0,720.0,,,33609965.0,-117850693.0,10050.0,1.0,,,,1.0,122,261.0,,60590626.444017,53571.0,1286.0,28119.0,96957.0,11.0,,1.0,,,,,1972.0,2.0,,2016.0,,,60590626444017.0,2040000.0
11130689,1.0,,,2.0,3.0,,6.0,2.0,,,1538.0,1538.0,,,,,6037.0,,2.0,,,,2.0,34375142.0,-118559779.0,5997.0,,,,,,0100,261.0,SCUR2,60379203.132,54311.0,3101.0,26134.0,96352.0,0.0,,,,1.0,,,1972.0,,,2016.0,,,60379203132000.0,401399.0
12036177,,,,2.0,3.0,,4.0,2.0,,,1851.0,1851.0,,,,,6037.0,,2.0,,,,7.0,34103373.0,-118293280.0,6714.0,,,,,,0100,261.0,LARD1.5,60371892.012001,12447.0,3101.0,274359.0,96008.0,0.0,,,,1.0,,,1920.0,,,2016.0,,,60371892012001.0,85035.0
14333888,,,,3.0,2.0,,,3.0,,,3230.0,3230.0,,,,,6059.0,,3.0,3.0,744.0,,,33760091.0,-117789669.0,18200.0,1.0,,,,1.0,122,261.0,,60590756.063008,40081.0,1286.0,,97005.0,8.0,,,,,,,1967.0,1.0,,2016.0,,,60590756063008.0,954106.0
12713253,,,,3.0,4.0,,8.0,3.0,,,2447.0,2447.0,,,,,6037.0,,3.0,,,,2.0,33770258.0,-118363785.0,7911.0,1.0,,,,1.0,0101,261.0,RPRS10000*,60376704.031017,54053.0,3101.0,,96122.0,0.0,,,,1.0,,,1967.0,,,2016.0,,,60376704031017.0,1083000.0
14338242,,,,2.5,4.0,,,2.5,,,1987.0,1987.0,,,,,6059.0,,2.0,2.0,448.0,True,,33794052.0,-117769536.0,3600.0,,,1.0,,,122,261.0,,60590756.052002,33252.0,1286.0,,97067.0,0.0,,1.0,,,,,1989.0,,,2016.0,,,60590756052002.0,703127.0
11680471,,,,3.0,3.0,,,3.0,,,3641.0,3641.0,,,,,6037.0,,3.0,,,,2.0,34077252.0,-118663270.0,183383.0,1.0,,,,1.0,0101,261.0,LCA11*,60378001.023057,12520.0,3101.0,,96116.0,0.0,,,,1.0,,,1980.0,,,2016.0,,,60378001023057.0,1444248.0
12155445,,,,4.0,5.0,,7.0,4.0,,,3572.0,3572.0,,,,,6037.0,,4.0,,,,2.0,34209748.0,-118190041.0,20148.0,1.0,,,,1.0,0101,261.0,LFR120000*,60374605.013014,46080.0,3101.0,,96271.0,0.0,,,,1.0,,,1967.0,,,2016.0,,,60374605013014.0,1473080.0
14736723,,,,1.0,1.0,,,1.0,,,630.0,630.0,,,,,6059.0,,1.0,1.0,0.0,,,33683491.0,-117651587.0,1819.0,,,,,,34,266.0,,60590524.272002,32380.0,1286.0,,96946.0,0.0,,,,,,,1992.0,,,2016.0,,,60590524272002.0,183187.0
10891778,1.0,,,3.0,2.0,,7.0,3.0,,,1480.0,1480.0,,,,,6037.0,,3.0,,,,2.0,34174800.0,-118383000.0,,,,,,,012C,266.0,LAR3,60371241.022002,12447.0,3101.0,46795.0,96446.0,0.0,,,,1.0,,,2009.0,,,2016.0,,,60371241022002.0,367967.0
14344863,,,,2.5,4.0,,,2.5,,,1979.0,1979.0,,,,,6059.0,1.0,2.0,2.0,446.0,,,33713632.0,-117765112.0,3936.0,,,,,,122,261.0,,60590525.253,52650.0,1286.0,276486.0,96954.0,8.0,,1.0,,,,,1977.0,2.0,,2016.0,,,60590525253000.0,800017.0
11682477,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34045737.0,-118740777.0,6430.0,,,,,,010V,260.0,LCA11*,60378004.101046,12520.0,3101.0,,96116.0,0.0,,,,,,,,,,2016.0,,,60378004101046.0,1300000.0
10852826,1.0,,,3.0,3.0,,7.0,3.0,,,2637.0,2637.0,,,,,6037.0,,3.0,,,,2.0,34164701.0,-118500753.0,8968.0,1.0,,,,1.0,0101,261.0,LARE9,60371396.002007,12447.0,3101.0,51906.0,96349.0,0.0,,,,1.0,,,1952.0,,,2016.0,,,60371396002007.0,833227.0
14703637,,,,2.5,2.0,,,2.5,,,1024.0,1024.0,,,,,6059.0,,2.0,1.0,0.0,,,33516700.0,-117721000.0,,,,,,,1,266.0,,60590423.252001,25459.0,1286.0,,96987.0,0.0,,1.0,,,,,1989.0,,,2016.0,,,60590423252001.0,418000.0
13891704,,,,1.0,2.0,,,1.0,,,624.0,,,,,624.0,6059.0,,1.0,,,,,33606810.0,-117895719.0,2615.0,,,,,,38,246.0,,60590630.061003,53571.0,1286.0,,96980.0,3.0,,,,2.0,,,1951.0,1.0,,2016.0,,,60590630061003.0,1825117.0
10871883,,,,2.0,5.0,,6.0,2.0,,,1818.0,1818.0,,,,,6037.0,,2.0,,,,2.0,34209855.0,-118416304.0,7499.0,1.0,,,,1.0,0101,261.0,LAR1,60371220.002007,12447.0,3101.0,41131.0,96450.0,0.0,,,,1.0,,,1948.0,,,2016.0,,,60371220002007.0,166428.0
10900115,1.0,,,3.0,4.0,,6.0,3.0,,,3160.0,3160.0,,,,,6037.0,,3.0,,,,2.0,34155840.0,-118375588.0,16506.0,,,,,,0100,261.0,LAR1,60371254.022013,12447.0,3101.0,46795.0,96447.0,0.0,,,,1.0,,,1941.0,,,2016.0,,,60371254022013.0,691816.0
11737342,,,,2.0,2.0,,6.0,2.0,,,1529.0,1529.0,,,,,6037.0,,2.0,,,,7.0,34043198.0,-118355618.0,3640.0,,,,,,0100,261.0,LARD1.5,60372183.004002,12447.0,3101.0,274514.0,96000.0,0.0,,,,1.0,,,1928.0,,,2016.0,,,60372183004002.0,657099.0
12106936,,,,2.0,3.0,,6.0,2.0,,,1447.0,1447.0,,,,,6037.0,,2.0,,,,7.0,34166370.0,-118151336.0,7283.0,,,,,,0100,261.0,PSR*,60374616.001002,47019.0,3101.0,274695.0,96291.0,0.0,,,,1.0,,,1901.0,,,2016.0,,,60374616001002.0,70755.0
12105191,1.0,,,2.0,2.0,,6.0,2.0,,,829.0,829.0,,,,,6037.0,,2.0,,,,2.0,34158500.0,-118143000.0,16378.0,,,,,,010C,266.0,PSR3,60374620.012006,47019.0,3101.0,274695.0,96292.0,0.0,,,,1.0,,,1991.0,,,2016.0,,,60374620012006.0,276147.0
11740609,1.0,,,3.0,2.0,,7.0,3.0,,,1110.0,1110.0,,,,,6037.0,,3.0,,,,2.0,34048900.0,-118369000.0,8500.0,,,,,,010C,266.0,LAR3,60372167.001007,12447.0,3101.0,275024.0,96016.0,0.0,,,,1.0,,,2006.0,,,2016.0,,,60372167001007.0,563000.0
11405344,,,,1.0,3.0,,5.0,1.0,,,872.0,872.0,,,,,6037.0,,1.0,,,,,33955053.0,-118344280.0,5566.0,,,,,,0100,261.0,INP1YY,60376010.021008,45888.0,3101.0,,96133.0,0.0,,,,1.0,,,1922.0,,,2016.0,,,60376010021008.0,248916.0
13043344,1.0,,,5.0,4.0,,10.0,5.0,,,5492.0,5492.0,,,,,6037.0,,5.0,,,,2.0,34144603.0,-117818513.0,67316.0,1.0,,,,1.0,0103,261.0,GDRHR,60374004.021001,11626.0,3101.0,,96486.0,0.0,,,,1.0,,,2006.0,,,2016.0,,,60374004021001.0,1814004.0
11036179,,,,3.0,4.0,,6.0,3.0,,,2317.0,2317.0,,,,,6037.0,,3.0,,,,7.0,34247194.0,-118443255.0,8703.0,1.0,,,,1.0,0101,261.0,LAR1,60371192.013006,12447.0,3101.0,268002.0,96361.0,0.0,,,,1.0,,,1953.0,,,2016.0,,,60371192013006.0,309821.0
14455676,,,,5.0,4.0,,,5.0,,,4468.0,4468.0,,,,,6059.0,,4.0,2.0,704.0,,,33475575.0,-117593484.0,7900.0,,,,,,1,261.0,,60590320.231021,13693.0,1286.0,,96983.0,0.0,,2.0,,,,,2007.0,,,2016.0,,,60590320231021.0,1279000.0
13038483,1.0,,,2.0,2.0,,8.0,2.0,,,1660.0,1660.0,,,,,6037.0,,2.0,,,,2.0,34141077.0,-117859093.0,1224.0,,,,,,010D,269.0,GDR_GA_PD,60374010.022032,11626.0,3101.0,,96486.0,0.0,,,,1.0,,,1987.0,,,2016.0,,,60374010022032.0,341921.0
14463877,,,,2.5,3.0,,,2.5,,,1734.0,1734.0,,,,,6059.0,,2.0,2.0,465.0,,,33562809.0,-117631225.0,2765.0,,,,,,122,261.0,,60590320.571017,52835.0,1286.0,,96998.0,0.0,,1.0,,,,,2000.0,,,2016.0,,,60590320571017.0,638000.0
10828742,,,,2.0,3.0,,8.0,2.0,,,1815.0,1815.0,,,,,6037.0,,2.0,,,,2.0,34205109.0,-118454045.0,10311.0,1.0,,,,1.0,0101,261.0,LARE11,60371272.202001,12447.0,3101.0,41466.0,96414.0,0.0,,,,1.0,,,1958.0,,,2016.0,,,60371272202001.0,103293.0
13022358,,,,1.0,2.0,,5.0,1.0,,,609.0,609.0,,,,,6037.0,,1.0,,,,7.0,34110426.0,-117919759.0,8997.0,,,,,,0100,261.0,LCA105,60374045.011006,37015.0,3101.0,,96464.0,0.0,,,,1.0,,,1948.0,,,2016.0,Y,15.0,60374045011006.0,162320.0
17153340,,,,3.5,2.0,,,3.5,,4018.0,4018.0,4018.0,,,4018.0,,6111.0,3.0,3.0,2.0,0.0,,,34184029.0,-119228526.0,,,,,,,1129,266.0,,61110036.093023,13150.0,2061.0,762930.0,97106.0,6.0,,1.0,,,,,1991.0,1.0,,2016.0,,,61110036093023.0,1044060.0
11751866,,,,4.0,6.0,,6.0,4.0,,,3435.0,,,3435.0,,,6037.0,,4.0,,,,,34055236.0,-118346239.0,6332.0,,,,,,0200,246.0,LAR2,60372162.002,12447.0,3101.0,274514.0,96000.0,0.0,,,,2.0,,,1928.0,,,2016.0,,,60372162002000.0,1118617.0
13007403,1.0,,,3.0,3.0,,8.0,3.0,,,2380.0,2380.0,,,,,6037.0,,3.0,,,,2.0,34104778.0,-118056266.0,9960.0,,,,,,0101,261.0,TCR1*,60374320.004007,14111.0,3101.0,,96517.0,0.0,,,,1.0,,,1991.0,,,2016.0,,,60374320004007.0,654279.0
14452416,,,,4.0,4.0,,,4.0,,,3415.0,3415.0,,,,,6059.0,,4.0,2.0,589.0,,,33463484.0,-117591802.0,6185.0,,,,,,122,261.0,,60590320.231034,13693.0,1286.0,,96983.0,0.0,,,,,,,1999.0,,,2016.0,,,60590320231034.0,579059.0
14728092,,,,1.0,1.0,,,1.0,,,702.0,702.0,,,,,6059.0,,1.0,1.0,0.0,,,33724500.0,-117918000.0,,,,,,,34,266.0,,60590992.272022,8384.0,1286.0,,97008.0,0.0,,,,,,,1983.0,,,2016.0,,,60590992272022.0,258883.0
14448439,,,,2.0,2.0,,,2.0,,,1367.0,1367.0,,,,,6059.0,,2.0,2.0,504.0,,,33443917.0,-117638959.0,6000.0,,,,,,122,261.0,,60590421.061001,13693.0,1286.0,,96982.0,6.0,,,,,,,2014.0,1.0,,2016.0,,,60590421061001.0,815542.0
12464464,,,,2.0,2.0,,7.0,2.0,,,1814.0,1814.0,,,,,6037.0,,2.0,,,,2.0,33833199.0,-118191488.0,5372.0,,,,,,0100,261.0,LBR1L,60375718.001004,46298.0,3101.0,274358.0,96241.0,0.0,,,,1.0,,,1962.0,,,2016.0,,,60375718001004.0,310117.0
12691507,,,,1.0,0.0,,8.0,1.0,,,440.0,440.0,,,,,6037.0,,1.0,,,,7.0,33785200.0,-118342000.0,433845.0,1.0,,,,1.0,010E,266.0,LCR3*,60376702.012012,,3101.0,,96121.0,0.0,,,,1.0,,,1973.0,,,2016.0,,,60376702012012.0,260000.0
12840475,,,,1.0,2.0,,4.0,1.0,,,928.0,928.0,,,,,6037.0,,1.0,,,,7.0,34049695.0,-117936204.0,13360.0,,,,,,0100,261.0,LCA11L,60374075.023,118694.0,3101.0,,96488.0,0.0,,,,1.0,,,1948.0,,,2016.0,,,60374075023000.0,241624.0
14607408,,,,1.0,1.0,,,1.0,,,745.0,745.0,,,,,6059.0,,1.0,2.0,0.0,,,33780300.0,-117942000.0,,,,,,,34,266.0,,60590886.012,24832.0,1286.0,,97047.0,0.0,,,,,,,1983.0,,,2016.0,,,60590886012000.0,227309.0
13091973,1.0,,,2.0,3.0,,8.0,2.0,,,1463.0,1463.0,,,,,6037.0,,2.0,,,,2.0,34023488.0,-117884178.0,12113.0,,,,,,0100,261.0,WARPD14800,60374034.083012,34636.0,3101.0,,96522.0,0.0,,,,1.0,,,1984.0,,,2016.0,,,60374034083012.0,200726.0
14432426,,,,2.0,3.0,,,2.0,,,1481.0,1481.0,,,,,6059.0,1.0,2.0,2.0,452.0,,,33479611.0,-117688280.0,10112.0,,,,,,122,261.0,,60590423.114001,17686.0,1286.0,,96961.0,6.0,,,,,,,1962.0,1.0,,2016.0,,,60590423114001.0,606645.0
11016518,,,,2.0,4.0,,8.0,2.0,,,1625.0,1625.0,,,,,6037.0,,2.0,,,,2.0,34282275.0,-118492692.0,8427.0,,,,,,0100,261.0,LARS,60371066.461002,12447.0,3101.0,31817.0,96370.0,0.0,,,,1.0,,,1956.0,,,2016.0,,,60371066461002.0,97097.0
14434171,,,,6.5,5.0,,,6.5,,,9586.0,9586.0,,,,,6059.0,,6.0,4.0,1114.0,True,,33496171.0,-117699380.0,30000.0,1.0,,,1.0,,122,261.0,,60590423.322002,25459.0,1286.0,,96987.0,0.0,,1.0,,,,,1992.0,,,2016.0,,,60590423322002.0,3624442.0
11782783,1.0,,,3.0,3.0,,,3.0,,,1820.0,1820.0,,,,,6037.0,,3.0,,,,2.0,34053100.0,-118266000.0,71332.0,1.0,,,,1.0,010C,266.0,LACW,60372091.022007,12447.0,3101.0,276023.0,95998.0,0.0,,,,1.0,,,2006.0,,,2016.0,,,60372091022007.0,853937.0
11018202,,,,1.0,2.0,,4.0,1.0,,,812.0,812.0,,,,,6037.0,,1.0,,,,7.0,34276431.0,-118447368.0,7150.0,,,,,,0100,261.0,LAR1,60371095.003018,12447.0,3101.0,116646.0,96366.0,0.0,,,,1.0,,,1917.0,,,2016.0,,,60371095003018.0,40746.0
10808296,1.0,,,3.0,3.0,,8.0,3.0,,,2406.0,2406.0,,,,,6037.0,,3.0,,,,2.0,34165555.0,-118602948.0,7245.0,,,,,,0100,261.0,LAR1,60371375.023002,12447.0,3101.0,48570.0,96387.0,0.0,,,,1.0,,,1979.0,,,2016.0,,,60371375023002.0,605540.0
11023776,,,,1.0,2.0,,4.0,1.0,,,776.0,776.0,,,,,6037.0,,1.0,,,,7.0,34250870.0,-118421788.0,7055.0,,,,,,0100,261.0,LAR1,60371045.002008,12447.0,3101.0,40215.0,96361.0,0.0,,,,1.0,,,1946.0,,,2016.0,Y,15.0,60371045002008.0,164836.0
12871444,,,,2.0,3.0,,4.0,2.0,,,1059.0,1059.0,,,,,6037.0,,2.0,,,,2.0,34083661.0,-117735137.0,7215.0,,,,,,0100,261.0,POR17200*,60374021.012005,20008.0,3101.0,,96507.0,0.0,,,,1.0,,,1955.0,,,2016.0,,,60374021012005.0,187119.0
14602058,,,,2.5,3.0,,,2.5,,,1970.0,1970.0,,,,,6059.0,,2.0,1.0,0.0,,,33663239.0,-117610568.0,,,,,,,34,266.0,,60590320.491004,15554.0,1286.0,,96993.0,0.0,,1.0,,,,,1997.0,,,2016.0,,,60590320491004.0,625388.0
12879860,,,,1.0,2.0,,4.0,1.0,,,1046.0,1046.0,,,,,6037.0,,1.0,,,,7.0,34051974.0,-117739351.0,,,,,,,0100,261.0,POR31000*,60374028.012013,20008.0,3101.0,,96506.0,0.0,,,,1.0,,,1885.0,,,2016.0,Y,9.0,60374028012013.0,232000.0
13069118,1.0,,,4.0,5.0,,7.0,4.0,,,5900.0,5900.0,,,,,6037.0,,4.0,,,,2.0,34032773.0,-117841456.0,35174.0,,,,,,0100,261.0,WAC3*,60374034.033011,34636.0,3101.0,,96522.0,0.0,,,,1.0,,,1989.0,,,2016.0,,,60374034033011.0,737397.0
13055657,1.0,,,5.0,5.0,,9.0,5.0,,,5823.0,5823.0,,,,,6037.0,,5.0,,,,2.0,34150178.0,-117757564.0,10010.0,1.0,,,,1.0,0101,261.0,LVRSP87-19,60374002.071023,39308.0,3101.0,,96494.0,0.0,,,,1.0,,,1998.0,,,2016.0,,,60374002071023.0,852836.0
12481281,,,,2.0,3.0,,4.0,2.0,,,1457.0,1457.0,,,,,6037.0,,2.0,,,,7.0,33866396.0,-118138920.0,5457.0,1.0,,,,1.0,0101,261.0,LKR1YY,60375700.032003,12292.0,3101.0,,96212.0,0.0,,,,1.0,,,1944.0,,,2016.0,,,60375700032003.0,334119.0
11693504,,,,3.0,3.0,,3.0,3.0,,,3626.0,,,3626.0,,,6037.0,,3.0,,,,,33991167.0,-118284769.0,5625.0,,,,,,0300,247.0,LAR2,60372327.001005,12447.0,3101.0,118208.0,96018.0,0.0,,,,3.0,,,1919.0,,,2016.0,,,60372327001005.0,419155.0
17153706,,,,2.5,2.0,,,2.5,,1442.0,1442.0,1442.0,,,1442.0,,6111.0,1.0,2.0,1.0,0.0,,,34189258.0,-119227797.0,,,,,,,1129,266.0,,61110036.093015,13150.0,2061.0,762930.0,97106.0,4.0,,1.0,,,,,2007.0,1.0,,2016.0,,,61110036093015.0,597000.0
10736968,1.0,,,4.0,4.0,,7.0,4.0,,,3721.0,3721.0,,,,,6037.0,,4.0,,,,2.0,34156698.0,-118667343.0,50708.0,1.0,,,,1.0,0101,261.0,HHRAS1*,60378002.031012,38980.0,3101.0,,96337.0,0.0,,,,1.0,,,1963.0,,,2016.0,,,60378002031012.0,1289594.0
