airconditioningtypeid,bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedfinishedsquarefeet,garagecarcnt,garagetotalsqft,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,propertylandusetypeid,propertyzoningdesc,regionidcounty,roomcnt,unitcnt,yearbuilt,taxvaluedollarcnt,log_sqft,log_lotsize
1.0,3.0,4.0,6.0,2317.0,2.0,456.0,7.0,34247194.0,-118443255.0,8703.0,261.0,580.0,3101.0,0.0,1.0,1953.0,309821.0,7.748460023899697,9.071537969095724
1.0,5.0,4.0,6.0,4468.0,2.0,704.0,2.0,33475575.0,-117593484.0,7900.0,261.0,580.0,1286.0,0.0,1.0,2007.0,1279000.0,8.404919948933452,8.974744612722734
1.0,2.0,2.0,8.0,1660.0,2.0,456.0,2.0,34141077.0,-117859093.0,1224.0,269.0,449.0,3101.0,0.0,1.0,1987.0,341921.0,7.415175109613295,7.110696122978827
1.0,2.5,3.0,6.0,1734.0,2.0,465.0,2.0,33562809.0,-117631225.0,2765.0,261.0,580.0,1286.0,0.0,1.0,2000.0,638000.0,7.45876269238096,7.925157512224703
1.0,2.0,3.0,8.0,1815.0,2.0,456.0,2.0,34205109.0,-118454045.0,10311.0,261.0,605.0,3101.0,0.0,1.0,1958.0,103293.0,7.504391559161238,9.241063544619024
1.0,1.0,2.0,5.0,609.0,2.0,456.0,7.0,34110426.0,-117919759.0,8997.0,261.0,685.0,3101.0,0.0,1.0,1948.0,162320.0,6.413458957167357,9.104757609401117
1.0,4.0,6.0,6.0,3435.0,2.0,456.0,2.0,34055236.0,-118346239.0,6332.0,246.0,585.0,3101.0,0.0,2.0,1928.0,1118617.0,8.142063283104147,8.753529336516431
1.0,3.0,3.0,8.0,2380.0,2.0,456.0,2.0,34104778.0,-118056266.0,9960.0,261.0,1742.0,3101.0,0.0,1.0,1991.0,654279.0,7.7752758464868625,9.206432747145165
1.0,4.0,4.0,6.0,3415.0,2.0,589.0,2.0,33463484.0,-117591802.0,6185.0,261.0,580.0,1286.0,0.0,1.0,1999.0,579059.0,8.13622555490846,8.730043953245016
1.0,2.0,2.0,6.0,1367.0,2.0,504.0,2.0,33443917.0,-117638959.0,6000.0,261.0,580.0,1286.0,6.0,1.0,2014.0,815542.0,7.221105098182496,8.699681400989514
1.0,2.0,2.0,7.0,1814.0,2.0,456.0,2.0,33833199.0,-118191488.0,5372.0,261.0,655.0,3101.0,0.0,1.0,1962.0,310117.0,7.503840746698951,8.589141690728821
1.0,1.0,0.0,8.0,440.0,2.0,456.0,7.0,33785200.0,-118342000.0,433845.0,266.0,858.0,3101.0,0.0,1.0,1973.0,260000.0,6.089044875446846,12.980444911402714
1.0,1.0,2.0,4.0,928.0,2.0,456.0,7.0,34049695.0,-117936204.0,13360.0,261.0,697.0,3101.0,0.0,1.0,1948.0,241624.0,6.834108738813838,9.500095294588894
1.0,2.0,3.0,8.0,1463.0,2.0,456.0,2.0,34023488.0,-117884178.0,12113.0,261.0,1790.0,3101.0,0.0,1.0,1984.0,200726.0,7.288927694521257,9.402117087540892
1.0,2.0,3.0,6.0,1481.0,2.0,452.0,2.0,33479611.0,-117688280.0,10112.0,261.0,580.0,1286.0,6.0,1.0,1962.0,606645.0,7.301147805856032,9.221577003902171
1.0,2.0,4.0,8.0,1625.0,2.0,456.0,2.0,34282275.0,-118492692.0,8427.0,261.0,610.0,3101.0,0.0,1.0,1956.0,97097.0,7.3938782901077555,9.03931477492408
1.0,6.5,5.0,6.0,9586.0,4.0,1114.0,2.0,33496171.0,-117699380.0,30000.0,261.0,580.0,1286.0,0.0,1.0,1992.0,3624442.0,9.168163293076997,10.308985993422082
1.0,3.0,3.0,6.0,1820.0,2.0,456.0,2.0,34053100.0,-118266000.0,71332.0,266.0,572.0,3101.0,0.0,1.0,2006.0,853937.0,7.507141079727608,11.175114332427764
1.0,1.0,2.0,4.0,812.0,2.0,456.0,7.0,34276431.0,-118447368.0,7150.0,261.0,580.0,3101.0,0.0,1.0,1917.0,40746.0,6.70073110954781,8.875007486048396
1.0,3.0,3.0,8.0,2406.0,2.0,456.0,2.0,34165555.0,-118602948.0,7245.0,261.0,580.0,3101.0,0.0,1.0,1979.0,605540.0,7.786136437783072,8.888204871455022
1.0,1.0,2.0,4.0,776.0,2.0,456.0,7.0,34250870.0,-118421788.0,7055.0,261.0,580.0,3101.0,0.0,1.0,1946.0,164836.0,6.655440350367647,8.861633597686627
1.0,2.0,3.0,4.0,1059.0,2.0,456.0,2.0,34083661.0,-117735137.0,7215.0,261.0,1387.0,3101.0,0.0,1.0,1955.0,187119.0,6.966024187106113,8.88405606174246
1.0,1.0,2.0,4.0,1046.0,2.0,456.0,7.0,34051974.0,-117739351.0,7210.0,261.0,1401.0,3101.0,0.0,1.0,1885.0,232000.0,6.953684210870537,8.88336291691676
1.0,4.0,5.0,7.0,5900.0,2.0,456.0,2.0,34032773.0,-117841456.0,35174.0,261.0,1777.0,3101.0,0.0,1.0,1989.0,737397.0,8.682877107057168,10.46809088198259
1.0,5.0,5.0,9.0,5823.0,2.0,456.0,2.0,34150178.0,-117757564.0,10010.0,261.0,1179.0,3101.0,0.0,1.0,1998.0,852836.0,8.669742589876522,9.211439767419483
1.0,2.0,3.0,4.0,1457.0,2.0,456.0,7.0,33866396.0,-118138920.0,5457.0,261.0,1007.0,3101.0,0.0,1.0,1944.0,334119.0,7.284820912568604,8.604837701268284
1.0,3.0,3.0,3.0,3626.0,2.0,456.0,2.0,33991167.0,-118284769.0,5625.0,247.0,585.0,3101.0,0.0,3.0,1919.0,419155.0,8.196161139282902,8.635153989049803
1.0,4.0,4.0,7.0,3721.0,2.0,456.0,2.0,34156698.0,-118667343.0,50708.0,261.0,522.0,3101.0,0.0,1.0,1963.0,1289594.0,8.222016437202196,10.833858688618287
1.0,1.0,1.0,6.0,662.0,2.0,456.0,2.0,34415100.0,-118446000.0,91867.0,266.0,1565.0,3101.0,0.0,1.0,1984.0,96318.0,6.4967749901858625,11.428108043136305
1.0,2.0,3.0,6.0,1152.0,2.0,460.0,2.0,33897641.0,-117783381.0,8597.0,261.0,580.0,1286.0,6.0,1.0,1971.0,218510.0,7.050122520269059,9.059284897056227
1.0,2.0,3.0,8.0,1607.0,2.0,456.0,2.0,34127388.0,-118347719.0,10520.0,261.0,580.0,3101.0,0.0,1.0,1939.0,963231.0,7.382746449738912,9.261128538808288
1.0,2.5,3.0,6.0,2283.0,2.0,491.0,2.0,33715432.0,-117819225.0,3112.0,261.0,580.0,1286.0,0.0,1.0,2006.0,730498.0,7.7336835707759,8.043342170441608
1.0,1.0,2.0,4.0,1027.0,2.0,456.0,7.0,33816016.0,-118271776.0,5574.0,261.0,191.0,3101.0,0.0,1.0,1951.0,49034.0,6.93537044601511,8.62604759632832
1.0,3.0,5.0,6.0,2453.0,2.0,636.0,2.0,33874367.0,-117714102.0,5610.0,261.0,580.0,1286.0,0.0,1.0,1999.0,473286.0,7.805474625270857,8.632484235750972
1.0,3.0,3.0,6.0,1236.0,2.0,456.0,2.0,34090000.0,-118260000.0,35886.0,266.0,598.0,3101.0,0.0,1.0,1991.0,588514.0,7.1204443723924875,10.488130391904537
1.0,1.0,2.0,4.0,1121.0,2.0,456.0,7.0,34185108.0,-118354397.0,6055.0,261.0,177.0,3101.0,0.0,1.0,1940.0,72867.0,7.022868086082641,8.708804795117285
1.0,1.0,2.0,4.0,847.0,2.0,456.0,7.0,33951761.0,-118258397.0,5025.0,261.0,580.0,3101.0,0.0,1.0,1938.0,214354.0,6.742880635791903,8.522379718103538
1.0,2.0,4.0,6.0,1266.0,2.0,441.0,2.0,33840077.0,-118050373.0,7200.0,261.0,580.0,1286.0,6.0,1.0,1961.0,465990.0,7.144407180321139,8.881975184248867
1.0,2.0,1.0,7.0,1164.0,2.0,456.0,2.0,34072800.0,-118393000.0,37501.0,266.0,143.0,3101.0,0.0,1.0,1974.0,654835.0,7.060476365999801,10.532149543869664
1.0,1.0,2.0,4.0,1070.0,2.0,456.0,7.0,33941284.0,-118284042.0,4829.0,261.0,580.0,3101.0,0.0,1.0,1937.0,141693.0,6.976348070447749,8.482601746646619
1.0,0.0,0.0,6.0,4198.0,1.0,0.0,2.0,33712800.0,-117883000.0,6187.0,248.0,580.0,1286.0,0.0,4.0,1977.0,480448.0,8.342601680684194,8.730367211692958
1.0,1.5,3.0,6.0,1360.0,2.0,420.0,2.0,33773127.0,-117849886.0,3549.0,261.0,580.0,1286.0,6.0,1.0,1971.0,265259.0,7.215975002651466,8.174702882469461
1.0,2.0,2.0,8.0,949.0,2.0,456.0,7.0,33768700.0,-118172000.0,15060.0,266.0,663.0,3101.0,0.0,1.0,1964.0,105933.0,6.856461984594587,9.619863900211849
1.0,2.0,2.0,8.0,1810.0,2.0,456.0,2.0,34109545.0,-118446544.0,7210.0,261.0,606.0,3101.0,0.0,1.0,1956.0,144688.0,7.501634457883413,8.88336291691676
1.0,2.0,3.0,6.0,1244.0,2.0,456.0,2.0,34214075.0,-118422187.0,7501.0,261.0,610.0,3101.0,0.0,1.0,1954.0,199420.0,7.126890808898808,8.922924930641832
13.0,3.0,5.0,6.0,2468.0,2.0,630.0,2.0,33844823.0,-117845549.0,7000.0,261.0,580.0,1286.0,9.0,1.0,1966.0,541129.0,7.81156848934518,8.853808274977197
1.0,2.5,3.0,6.0,3011.0,2.0,638.0,2.0,33628725.0,-117873172.0,6944.0,261.0,580.0,1286.0,7.0,1.0,1973.0,1441252.0,8.010359588919783,8.845777255188445
1.0,2.0,3.0,8.0,1410.0,2.0,456.0,2.0,34444791.0,-118512733.0,4816.0,269.0,1564.0,3101.0,0.0,1.0,1980.0,406099.0,7.252053951852814,8.479906606630221
1.0,3.0,3.0,6.0,2581.0,2.0,456.0,7.0,34159634.0,-118390904.0,6994.0,261.0,580.0,3101.0,0.0,1.0,1939.0,1070352.0,7.856319571406588,8.852950887099581
1.0,2.0,2.0,8.0,1245.0,2.0,456.0,2.0,34019500.0,-117813000.0,179588.0,266.0,867.0,3101.0,0.0,1.0,1979.0,192441.0,7.1276936993473985,12.098426185758512
1.0,2.5,3.0,6.0,1270.0,2.0,444.0,2.0,33462597.0,-117653302.0,1944.0,261.0,580.0,1286.0,6.0,1.0,1973.0,553311.0,7.147559271189454,7.573017256052546
1.0,2.0,2.0,6.0,1159.0,2.0,456.0,2.0,34147300.0,-118114000.0,52158.0,266.0,1446.0,3101.0,0.0,1.0,1973.0,292206.0,7.05617528410041,10.862052024637613
1.0,3.0,2.0,8.0,1302.0,2.0,456.0,2.0,34113074.0,-118168260.0,20150.0,266.0,1711.0,3101.0,0.0,1.0,1979.0,330276.0,7.172424577124845,9.911009193934975
1.0,3.0,3.0,6.0,2007.0,2.0,495.0,2.0,33884813.0,-117859431.0,9040.0,261.0,580.0,1286.0,7.0,1.0,1963.0,633122.0,7.60489448081162,9.109525066737367
1.0,1.0,3.0,5.0,1040.0,2.0,456.0,7.0,33977233.0,-118269821.0,5427.0,261.0,585.0,3101.0,0.0,1.0,1923.0,234319.0,6.947937068614969,8.59932602095476
1.0,1.0,3.0,4.0,968.0,2.0,456.0,7.0,34104594.0,-118176898.0,7499.0,261.0,580.0,3101.0,0.0,1.0,1951.0,37210.0,6.876264611890766,8.922658299524402
1.0,2.0,3.0,6.0,1731.0,2.0,400.0,2.0,33883151.0,-117869121.0,8000.0,261.0,580.0,1286.0,7.0,1.0,1963.0,73745.0,7.4570320891223805,8.987321812850125
1.0,2.0,4.0,6.0,1623.0,2.0,540.0,2.0,33752416.0,-117883370.0,7100.0,261.0,580.0,1286.0,0.0,1.0,1929.0,313973.0,7.392647520721623,8.867990898182093
1.0,3.0,3.0,4.0,1534.0,2.0,456.0,2.0,33981374.0,-118317057.0,5000.0,247.0,596.0,3101.0,0.0,3.0,1940.0,43439.0,7.336285660021297,8.517393171418904
1.0,3.0,3.0,4.0,1534.0,2.0,456.0,2.0,33981374.0,-118317057.0,5000.0,247.0,596.0,3101.0,0.0,3.0,1940.0,43439.0,7.336285660021297,8.517393171418904
1.0,3.0,3.0,8.0,3172.0,2.0,456.0,2.0,34181591.0,-118660388.0,14356.0,261.0,605.0,3101.0,0.0,1.0,1966.0,700000.0,8.062432791583195,9.571992907127694
1.0,1.0,3.0,4.0,1206.0,2.0,456.0,7.0,33903388.0,-118112012.0,7415.0,261.0,125.0,3101.0,0.0,1.0,1954.0,52764.0,7.095893221097532,8.91139510724569
1.0,2.0,3.0,6.0,1560.0,1.0,351.0,2.0,33825631.0,-117919581.0,6180.0,261.0,580.0,1286.0,6.0,1.0,1950.0,56059.0,7.353081920515432,8.729235349659273
1.0,3.0,4.0,8.0,1908.0,2.0,456.0,2.0,34707586.0,-118063629.0,7210.0,261.0,1123.0,3101.0,0.0,1.0,2006.0,145452.0,7.554334823725748,8.88336291691676
1.0,2.0,5.0,6.0,1901.0,2.0,456.0,7.0,33934976.0,-118110193.0,6693.0,261.0,330.0,3101.0,0.0,1.0,1950.0,635000.0,7.550661243105336,8.808966881771273
1.0,2.0,3.0,6.0,1384.0,1.0,360.0,2.0,33863872.0,-117945486.0,6324.0,261.0,580.0,1286.0,6.0,1.0,1955.0,288193.0,7.233455418621439,8.752265313595721
1.0,2.0,4.0,6.0,1482.0,2.0,575.0,2.0,33903272.0,-117846982.0,7904.0,261.0,580.0,1286.0,7.0,1.0,1972.0,289996.0,7.301822342137932,8.975250749643573
1.0,2.5,4.0,6.0,1658.0,2.0,468.0,6.0,33905686.0,-117860621.0,1632.0,261.0,580.0,1286.0,6.0,1.0,1974.0,206365.0,7.413970290190444,7.398174092970465
1.0,3.0,2.0,6.0,1204.0,2.0,456.0,2.0,34250300.0,-118601000.0,58432.0,266.0,587.0,3101.0,0.0,1.0,1981.0,189392.0,7.094234845924755,10.975636077718386
1.0,2.0,3.0,6.0,1441.0,2.0,400.0,2.0,33943428.0,-117967412.0,7215.0,261.0,580.0,1286.0,7.0,1.0,1955.0,315672.0,7.273786317844895,8.88405606174246
1.0,2.0,3.0,8.0,1270.0,2.0,456.0,2.0,34453734.0,-118618601.0,5836.0,261.0,964.0,3101.0,0.0,1.0,1985.0,282233.0,7.147559271189454,8.671972245203792
1.0,2.0,4.0,6.0,1392.0,2.0,437.0,2.0,34233486.0,-119038374.0,7300.0,261.0,580.0,2061.0,6.0,1.0,1969.0,420525.0,7.239214973779806,8.895766604056085
1.0,1.0,1.0,6.0,455.0,1.0,216.0,2.0,33744896.0,-117877876.0,1904.0,261.0,580.0,1286.0,4.0,1.0,1922.0,86152.0,6.1224928095143865,7.552237287560802
1.0,3.0,5.0,7.0,3245.0,2.0,456.0,2.0,33978608.0,-117859416.0,121717.0,261.0,680.0,3101.0,0.0,1.0,1988.0,1294418.0,8.085178748074537,11.709462172722448
1.0,1.0,0.0,6.0,690.0,2.0,456.0,2.0,34044900.0,-118252000.0,15921.0,266.0,567.0,3101.0,0.0,1.0,1911.0,412116.0,6.53813982376767,9.675457079648524
1.0,2.0,3.0,6.0,1270.0,2.0,484.0,2.0,34139954.0,-118880484.0,11200.0,261.0,580.0,2061.0,6.0,1.0,1957.0,77571.0,7.147559271189454,9.32375833901174
1.0,2.0,2.0,6.0,1353.0,2.0,456.0,2.0,34013426.0,-118095453.0,5802.0,261.0,1202.0,3101.0,0.0,1.0,1956.0,132508.0,7.21081845347222,8.666130304190608
1.0,1.0,1.0,8.0,495.0,2.0,456.0,2.0,34143400.0,-118127000.0,70090.0,266.0,1447.0,3101.0,0.0,1.0,1963.0,135279.0,6.206575926724928,11.157549676763116
1.0,3.0,4.0,6.0,2342.0,3.0,828.0,2.0,34228053.0,-118982963.0,8644.0,261.0,580.0,2061.0,7.0,1.0,1978.0,387648.0,7.759187438507795,9.064736398117391
1.0,3.0,5.0,6.0,2468.0,2.0,483.0,2.0,33757266.0,-117812282.0,9675.0,261.0,580.0,1286.0,9.0,1.0,1965.0,705590.0,7.81156848934518,9.177403871729918
1.0,2.0,2.0,8.0,1376.0,2.0,456.0,2.0,33882321.0,-118063614.0,1757.0,266.0,213.0,3101.0,0.0,1.0,1975.0,123877.0,7.227662498728654,7.471932078245122
1.0,4.5,5.0,6.0,3543.0,2.0,577.0,2.0,33575267.0,-117582157.0,7776.0,261.0,580.0,1286.0,0.0,1.0,1996.0,502035.0,8.173011311724972,8.958925938694943
1.0,3.0,4.0,7.0,3107.0,2.0,456.0,2.0,34154597.0,-118514596.0,17166.0,261.0,591.0,3101.0,0.0,1.0,1957.0,1279125.0,8.041734711487537,9.75074421527093
1.0,2.0,3.0,5.0,1298.0,2.0,456.0,2.0,33991851.0,-118260557.0,5676.0,246.0,585.0,3101.0,0.0,2.0,1923.0,246455.0,7.1693500166706,8.644178203170727
1.0,1.0,3.0,4.0,1295.0,2.0,456.0,7.0,33934612.0,-118354194.0,4795.0,261.0,856.0,3101.0,0.0,1.0,1940.0,192008.0,7.16703787691222,8.475537516147405
1.0,2.5,3.0,6.0,1538.0,2.0,0.0,2.0,33557290.0,-117720981.0,3974.0,266.0,580.0,1286.0,0.0,1.0,1990.0,515844.0,7.338888133838879,8.287780027088433
1.0,2.0,3.0,8.0,1440.0,2.0,456.0,2.0,34233312.0,-118492573.0,7915.0,261.0,610.0,3101.0,0.0,1.0,1956.0,84218.0,7.273092595999522,8.976641306722456
1.0,2.0,3.0,8.0,1632.0,2.0,456.0,2.0,34143569.0,-117857682.0,9654.0,261.0,433.0,3101.0,0.0,1.0,1960.0,631600.0,7.398174092970465,9.175231194862615
1.0,3.0,4.0,8.0,2521.0,2.0,456.0,2.0,33871231.0,-118064940.0,4976.0,261.0,220.0,3101.0,0.0,1.0,1971.0,128871.0,7.8328075165248645,8.512582578858554
1.0,2.0,3.0,6.0,1346.0,2.0,504.0,2.0,34184673.0,-119206256.0,6275.0,261.0,580.0,2061.0,6.0,1.0,1965.0,206909.0,7.205635176410364,8.744488113852924
1.0,3.0,4.0,8.0,2088.0,2.0,456.0,2.0,34389908.0,-118552957.0,4920.0,261.0,1564.0,3101.0,0.0,1.0,1975.0,521000.0,7.644440761556566,8.501267040865978
1.0,2.0,4.0,6.0,1966.0,2.0,456.0,2.0,34197117.0,-118623176.0,7842.0,261.0,610.0,3101.0,0.0,1.0,1960.0,419295.0,7.584264818389059,8.967376693212666
1.0,3.0,3.0,6.0,2728.0,2.0,532.0,2.0,34181108.0,-119222807.0,4000.0,261.0,580.0,2061.0,6.0,1.0,1987.0,789179.0,7.911690520708339,8.294299608857235
1.0,2.0,3.0,6.0,1499.0,2.0,456.0,2.0,34139040.0,-118179328.0,6522.0,261.0,1449.0,3101.0,0.0,1.0,1947.0,82798.0,7.313220387090301,8.783089671796096
1.0,2.0,4.0,6.0,1570.0,2.0,456.0,2.0,34195554.0,-118627171.0,8700.0,261.0,610.0,3101.0,0.0,1.0,1958.0,249614.0,7.359467638255621,9.071193240566025
1.0,3.0,4.0,6.0,2880.0,2.0,552.0,2.0,33602433.0,-117666292.0,7248.0,261.0,580.0,1286.0,9.0,1.0,1966.0,333437.0,7.9658927350845286,8.888618807300878
